Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Pendidikan Mandalika,UNDIKMA,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",2397,081045,20,263,35499,73436
Universitas Nusa Mandiri,UNM,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",8244402,031069,6,255,35395,63900
Universitas Nahdlatul Ulama Sidoarjo,UNUSIDA,"KAB. SIDOARJO - JAWA TIMUR, ID",2110,071082,11,67,35344,52210
Universitas Kristen Indonesia,UKI,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",405,031009,33,248,34818,50263
Politeknik Negeri Ujung Pandang,PNUP,"KOTA MAKASSAR - SULAWESI SELATAN, ID",548,005012,39,336,34520,78336
Universitas Muslim Nusantara Al-Washliyah,UMNAL-WASHLIYAH,"KOTA MEDAN - SUMATERA UTARA, ID",448,011027,20,215,34505,54508
Universitas Muhammadiyah Kalimantan Timur,UMKT,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",4632,111024,22,189,34405,56401
Universitas Terbuka,UT,"KOTA TANGERANG SELATAN - BANTEN, ID",496,001031,44,587,33932,82747
Universitas Indraprasta PGRI,UNINDRA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1094,031049,16,883,33343,66231
Universitas Islam Riau,UIR,"KOTA PEKANBARU - RIAU, ID",2893,101006,44,549,33325,66568
Universitas Amikom Yogyakarta,-,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1906,051024,17,242,33318,66541
Universitas Medan Area,UMA,"KOTA MEDAN - SUMATERA UTARA, ID",586,011008,23,341,33038,70264
Politeknik Negeri Medan,POLMED,"KOTA MEDAN - SUMATERA UTARA, ID",540,005003,25,353,32910,66671
Universitas Islam Negeri Maulana Malik Ibrahim Malang,UINMALANG,"KOTA MALANG - JAWA TIMUR, ID",3513,201003,47,572,32602,61117
Universitas PGRI Kanjuruhan Malang,UNIKAMA,"KOTA MALANG - JAWA TIMUR, ID",2078,071103,25,195,32054,61985
Universitas Merdeka Malang,UNMER,"KOTA MALANG - JAWA TIMUR, ID",2054,071025,32,341,31973,77437
Universitas Muhammadiyah Magelang,UNIMMA,"KOTA MAGELANG - JAWA TENGAH, ID",17,061004,21,178,31756,60087
Politeknik Negeri Padang,PNP,"KOTA PADANG - SUMATERA BARAT, ID",545,005009,44,349,31538,70959
Universitas Wijaya Kusuma Surabaya,UWKS,"KOTA SURABAYA - JAWA TIMUR, ID",2041,071009,28,304,30656,67155
Badan Penyuluhan dan Pengembangan SDM Pertanian,BPPSDMP,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",8078,0,0,805,29904,114287
